datetime,PO4T1,Oxi,MKN,ID toc do quat
2023-06-27 16:00:00,932.7385254,1.190829873,0.760587601,96
2023-06-27 18:00:00,941.0296631,1.251349449,0.760587601,96
2023-06-27 20:00:00,923.3792725,1.205069423,0.760587601,96
2023-06-27 22:00:00,936.7840576,1.007935405,0.782580224,96.30000305
2023-06-28 00:00:00,936.5437012,1.168580055,0.782580224,96.59999847
2023-06-28 02:00:00,933.7666626,1.403983831,0.782580224,96.59999847
2023-06-28 04:00:00,943.4729614,1.122300029,0.782580224,96.30000305
2023-06-28 06:00:00,939.6677856,1.045760512,0.791622055,96.19999695
2023-06-28 08:00:00,934.6611328,1.228654385,0.791622055,96.19999695
2023-06-28 10:00:00,938.2526245,1.456493735,0.791622055,96.19999695
2023-06-28 12:00:00,932.4047852,1.367049217,0.791622055,96.19999695
2023-06-28 14:00:00,936.7840576,1.261139512,0.754920197,96.19999695
2023-06-28 16:00:00,936.7840576,1.261139512,0.754920197,96.19999695
2023-06-28 18:00:00,939.3473511,1.227764487,0.754920197,95.80000305
2023-06-28 20:00:00,936.5703125,1.213079691,0.754920197,95.80000305
2023-06-28 22:00:00,936.8774414,1.036860347,0.74257683,95.80000305
